City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Buraydah,SA,2022-12-07 23:27:11,26.326,43.975,289.4,62,44,4.65
68,Port Shepstone,ZA,2022-12-07 23:27:12,-30.7414,30.455,294.68,79,34,2.55
69,Port Elizabeth,ZA,2022-12-07 23:27:13,-33.918,25.5701,292.77,91,20,6.17
70,Coquimbo,CL,2022-12-07 23:27:13,-29.9533,-71.3436,290.0,88,20,4.63
71,Bubaque,GW,2022-12-07 23:27:14,11.2833,-15.8333,300.13,72,0,6.54
72,Hilo,US,2022-12-07 23:27:15,19.7297,-155.09,299.42,93,100,5.66
73,Shache,CN,2022-12-07 23:27:15,38.4167,77.2406,267.07,40,52,1.15
74,Moose Factory,CA,2022-12-07 23:27:16,51.2585,-80.6094,255.15,78,0,3.6
75,Mount Gambier,AU,2022-12-07 23:27:16,-37.8333,140.7667,285.12,54,82,4.7
76,Vestmannaeyjar,IS,2022-12-07 23:27:17,63.4427,-20.2734,274.68,68,94,2.97
77,Roccastrada,IT,2022-12-07 23:27:18,43.0099,11.1665,281.62,90,100,1.17
78,Dicabisagan,PH,2022-12-07 23:27:19,17.0818,122.4157,297.91,90,100,2.16
79,Ancud,CL,2022-12-07 23:27:19,-41.8697,-73.8203,287.85,80,58,9.19
80,Marsa Matruh,EG,2022-12-07 23:27:20,31.3525,27.2453,290.18,49,3,6.0
81,Arraial Do Cabo,BR,2022-12-07 23:22:55,-22.9661,-42.0278,296.13,94,75,1.03
82,Faya,SA,2022-12-07 23:27:21,18.3851,42.4509,284.44,67,21,1.0
83,Yellowknife,CA,2022-12-07 23:24:41,62.456,-114.3525,242.44,76,40,2.06
84,Faanui,PF,2022-12-07 23:27:22,-16.4833,-151.75,300.06,78,100,8.69
85,Victoria,HK,2022-12-07 23:26:47,22.2855,114.1577,292.18,82,73,4.47
86,Wagrowiec,PL,2022-12-07 23:28:23,52.8084,17.1996,273.33,84,83,6.66
87,Trincomalee,LK,2022-12-07 23:28:23,8.5711,81.2335,294.43,78,100,10.75
88,Lasa,IT,2022-12-07 23:28:24,46.6166,10.7002,271.64,81,31,0.85
89,Alanya,TR,2022-12-07 23:26:20,36.5438,31.9998,285.22,72,100,2.18
90,Cidreira,BR,2022-12-07 23:28:25,-30.1811,-50.2056,294.3,89,0,3.26
91,Burnie,AU,2022-12-07 23:28:12,-41.0667,145.9167,282.56,57,7,7.12
92,Ponta Do Sol,PT,2022-12-07 23:28:25,32.6667,-17.1,291.88,87,29,6.86
93,Kargasok,RU,2022-12-07 23:28:26,59.0556,80.8572,258.33,90,100,5.68
94,Guerrero Negro,MX,2022-12-07 23:28:26,27.9769,-114.0611,291.13,57,2,7.79
95,Yomou,GN,2022-12-07 23:28:27,7.5603,-9.2653,294.92,90,15,0.84
96,Visby,SE,2022-12-07 23:27:05,57.6409,18.296,275.27,75,100,8.75
97,Lamar,US,2022-12-07 23:28:28,33.6668,-95.5836,292.95,96,100,1.54
98,Cockburn Town,TC,2022-12-07 23:24:33,21.4612,-71.1419,298.43,61,7,8.04
99,Poshekhonye,RU,2022-12-07 23:28:29,58.4993,39.1353,263.63,76,5,5.93
100,Katsuura,JP,2022-12-07 23:28:29,35.1333,140.3,284.37,68,0,2.2
101,Ponta Delgada,PT,2022-12-07 23:28:30,37.7333,-25.6667,288.55,82,40,5.14
102,Khatanga,RU,2022-12-07 23:28:30,71.9667,102.5,239.92,89,6,5.25
103,Tanda,IN,2022-12-07 23:28:31,26.55,82.65,286.18,44,25,1.8
104,Almonte,ES,2022-12-07 23:28:32,37.2647,-6.5167,287.19,97,100,5.76
105,Skibbereen,IE,2022-12-07 23:28:32,51.55,-9.2667,275.43,87,2,2.86
106,Kaitangata,NZ,2022-12-07 23:28:33,-46.2817,169.8464,291.3,55,100,4.45
107,Qobustan,AZ,2022-12-07 23:28:33,40.0824,49.412,278.71,90,100,2.89
108,Fare,PF,2022-12-07 23:28:34,-16.7,-151.0167,300.38,74,100,8.79
109,Kasongo-Lunda,CD,2022-12-07 23:28:34,-6.4667,16.8167,292.13,92,100,0.54
110,Valverde Del Camino,ES,2022-12-07 23:28:35,37.5751,-6.7543,287.06,98,100,6.36
111,Daru,PG,2022-12-07 23:28:07,-9.0763,143.2092,302.28,69,100,1.88
112,San Cristobal,VE,2022-12-07 23:28:36,7.7669,-72.225,293.25,94,40,1.45
113,Prince George,CA,2022-12-07 23:28:36,53.9166,-122.753,272.73,87,0,4.63
114,Klaksvik,FO,2022-12-07 23:28:37,62.2266,-6.589,273.66,73,100,13.1
115,Upernavik,GL,2022-12-07 23:28:37,72.7868,-56.1549,268.2,78,100,12.36
116,Tessalit,ML,2022-12-07 23:28:38,20.1986,1.0114,297.06,16,0,5.57
117,Hailar,CN,2022-12-07 23:28:38,49.2,119.7,255.85,94,7,4.88
118,Snezhnogorsk,RU,2022-12-07 23:28:39,69.1933,33.2531,267.03,98,69,2.38
119,Altay,CN,2022-12-07 23:28:39,47.8667,88.1167,256.21,87,100,2.47
120,Bambous Virieux,MU,2022-12-07 23:28:40,-20.3428,57.7575,298.29,83,75,5.66
121,Sao Joao Da Barra,BR,2022-12-07 23:28:41,-21.6403,-41.0511,297.2,94,100,4.8
122,Hammerfest,NO,2022-12-07 23:28:41,70.6634,23.6821,272.4,100,100,3.09
123,Whittier,US,2022-12-07 23:28:42,33.9792,-118.0328,290.8,57,40,4.63
124,Severobaykalsk,RU,2022-12-07 23:28:42,55.65,109.3167,258.67,72,96,3.18
125,Nouadhibou,MR,2022-12-07 23:28:43,20.931,-17.0347,292.14,88,0,3.09
126,Altagracia De Orituco,VE,2022-12-07 23:28:43,9.8601,-66.3814,294.38,88,99,2.8
127,Palmer,US,2022-12-07 23:26:16,42.1584,-72.3287,287.38,87,100,3.09
128,Aklavik,CA,2022-12-07 23:28:44,68.2191,-135.0107,245.15,69,40,5.14
129,Busselton,AU,2022-12-07 23:28:45,-33.65,115.3333,290.14,72,53,2.81
130,Kavieng,PG,2022-12-07 23:28:45,-2.5744,150.7967,301.12,76,86,3.01
131,Alofi,NU,2022-12-07 23:28:46,-19.0595,-169.9187,303.09,70,75,4.63
132,Clyde River,CA,2022-12-07 23:28:01,70.4692,-68.5914,255.28,71,0,4.63
133,Miles City,US,2022-12-07 23:28:46,46.4083,-105.8406,262.69,79,0,1.54
134,Lompoc,US,2022-12-07 23:29:47,34.6391,-120.4579,288.62,68,0,4.63
135,Bilibino,RU,2022-12-07 23:29:48,68.0546,166.4372,239.16,99,51,2.09
136,Tura,IN,2022-12-07 23:29:48,25.5198,90.2201,288.06,88,27,1.63
137,Kemi,FI,2022-12-07 23:29:49,65.8596,24.8228,263.02,85,40,1.54
138,Bafoulabe,ML,2022-12-07 23:29:50,13.8065,-10.8321,302.85,20,0,2.49
139,Kieta,PG,2022-12-07 23:29:50,-6.2167,155.6333,302.07,70,99,1.73
140,Adrar,MR,2022-12-07 23:29:52,20.5022,-10.0711,298.87,34,69,0.96
141,Cayenne,GF,2022-12-07 23:29:52,4.9333,-52.3333,299.17,89,0,3.6
142,Geraldton,AU,2022-12-07 23:28:47,-28.7667,114.6,294.38,68,75,6.69
143,Marawi,PH,2022-12-07 23:29:53,7.9986,124.2928,293.98,93,93,0.64
144,Rize,TR,2022-12-07 23:29:53,40.9044,40.8949,272.37,60,36,2.91
145,Gazojak,TM,2022-12-07 23:29:54,41.1875,61.4036,267.3,51,1,4.51
146,Paragominas,BR,2022-12-07 23:29:54,-2.9667,-47.4833,298.62,77,64,0.28
147,Samarai,PG,2022-12-07 23:29:55,-10.6167,150.6667,301.06,76,100,1.66
148,Touros,BR,2022-12-07 23:26:23,-5.1989,-35.4608,299.35,78,42,6.43
149,Rancharia,BR,2022-12-07 23:29:56,-22.2292,-50.8931,296.87,85,17,1.21
150,Szczytno,PL,2022-12-07 23:29:57,53.5626,20.9875,273.11,86,100,5.14
151,Pokosnoye,RU,2022-12-07 23:29:57,55.5258,101.0536,260.85,86,100,5.75
152,Mehamn,NO,2022-12-07 23:29:58,71.0357,27.8492,275.1,92,99,9.99
153,Pechenga,RU,2022-12-07 23:29:58,69.5259,31.1703,263.83,98,84,1.29
154,Lappeenranta,FI,2022-12-07 23:29:59,61.0587,28.1887,269.14,92,100,4.12
155,Bathsheba,BB,2022-12-07 23:29:59,13.2167,-59.5167,298.18,87,20,3.09
156,Kilindoni,TZ,2022-12-07 23:27:17,-7.9139,39.6668,300.07,80,1,5.03
157,Ust-Kuyga,RU,2022-12-07 23:30:00,70.0167,135.6,242.59,99,100,2.48
158,Ubatuba,BR,2022-12-07 23:30:01,-23.4339,-45.0711,296.77,93,81,1.08
